publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Archives of Clinical Neuropsychology	0887-6177	1873-5843	1997	12		2015	30		acn		acn		fulltext		Elsevier	serial								
American Entomologist	1046-2821	2155-9902	2001	47		2015	61		ae		ae		fulltext		Oxford University Press	serial								
Review of Agricultural Economics	1058-7195	1467-9353	1996	18		2015	37		aepp		aepp		fulltext		Oxford University Press	serial								
Annals of the Entomological Society of America	0013-8746	1938-2901	1996	89		2015	108		aesa		aesa		fulltext		Oxford University Press	serial								
The British Journal of Aesthetics	0007-0904	1468-2842	1996	36		2015	55		aesthj		aesthj		fulltext		Oxford University Press	serial								
African Affairs	0001-9909	1468-2621	1996	95		2015	114		afrafj		afrafj		fulltext		Oxford University Press	serial								
Age and Ageing	0002-0729	1468-2834	1996	25		2015	44		ageing		ageing		fulltext		Oxford University Press	serial								
The American Historical Review	0002-8762	1937-5239	1996	101		2015	120		ahr		ahr		fulltext		Oxford University Press	serial								
American Journal of Epidemiology	0002-9262	1476-6256	1996	143		2015	182		aje		aje		fulltext		Oxford University Press	serial								
American Journal of Hypertension	0895-7061	1941-7225	1996	9		2015	28		ajh		ajh		fulltext		Oxford University Press	serial								
The American Journal of Jurisprudence	0065-8995	2049-6494	1997	42		2015	60		ajj		ajj		fulltext		Oxford University Press	serial								
Alcohol and Alcoholism	0735-0414	1464-3502	1996	31		2015	50		alcalc		alcalc		fulltext		Oxford University Press	serial								
American Literary History	0896-7148	1468-4365	1997	9		2015	27		alhist		alhist		fulltext		Oxford University Press	serial								
Analysis	0003-2638	1467-8284	1996	56		2015	75		analys		analys		fulltext		Oxford University Press	serial								
Annals of Botany	0305-7364	1095-8290	1996	77		2015	116		annbot		annbot		fulltext		Oxford University Press	serial								
Annals of Occupational Hygiene	0003-4878	1475-3162	1996	40		2015	59		annhyg		annhyg		fulltext		Oxford University Press	serial								
Annals of Oncology	0923-7534	1569-8041	1996	7		2015	26		annonc		annonc		fulltext		Oxford University Press	serial								
Applied Linguistics	0142-6001	1477-450X	1996	17		2015	36		applij		applij		fulltext		Oxford University Press	serial								
Arbitration International	0957-0411	1875-8398	1996	12		2015	31		arbitration		arbitration		fulltext		Oxford University Press	serial								
Aesthetic Surgery Journal	1090-820X	1527-330X	1996	16		2015	35		asj		asj		fulltext		Blackwell Publishing Ltd	serial								
Behavioral Ecology	1045-2249	1465-7279	1997	8		2015	26		beheco		beheco		fulltext		Oxford University Press	serial								
Bioinformatics	1367-4803	1460-2059	1996	12		2015	31		bioinformatics		bioinformatics		fulltext		Oxford University Press	serial								
Biometrika	0006-3444	1464-3510	1996	83		2015	102		biomet		biomet		fulltext		Oxford University Press	serial								
BioScience	0006-3568	1525-3244	1996	46		2015	65		bioscience		bioscience		fulltext		American Institute of Biological Sciences	serial								
British Journal of Anaesthesia	0007-0912	1471-6771	1996	76		2015	115		bjaint		bjaint		fulltext		Oxford University Press	serial								
Bulletin of the London Mathematical Society	0024-6093	1469-2120	1996	28		2015	47		blms		blms		fulltext		Oxford University Press	serial								
Brain	0006-8950	1460-2156	1996	119		2015	138		brainj		brainj		fulltext		Oxford University Press	serial								
Rheumatology	1462-0324	1462-0332	1996	35		2015	54		brheum		brheum		fulltext		Oxford University Press	serial								
British Medical Bulletin	0007-1420	1471-8391	1996	52		2015	116		brimed		brimed		fulltext		Oxford University Press	serial								
Cambridge Journal of Economics	0309-166X	1464-3545	1996	20		2015	39		cameco		cameco		fulltext		Oxford University Press	serial								
The Cambridge Quarterly	0008-199X	1471-6836	1997	30		2015	44		camquj		camquj		fulltext		Oxford University Press	serial								
Carcinogenesis	0143-3334	1460-2180	1996	17		2015	36		carcin		carcin		fulltext		Oxford University Press	serial								
Cardiovascular Research	0008-6363	1755-3245	1996	31		2015	108		cardiovascres		cardiovascres		fulltext		Elsevier Science	serial								
Christian Bioethics	1380-3603	1744-4195	1996	2		2015	21		cb		cb		fulltext		Oxford University Press	serial								
