Publisher Code,Journal Title,Print ISSN,Electronic ISSN,Publisher,Url,Total Number of articles,First Year in the Licence,First Volume in the Licence,Last Year in the Licence,Last Volume in the Licence
acn,Archives of Clinical Neuropsychology,0887-6177,1873-5843,Elsevier,http://acn.oxfordjournals.org,3922,1997,12,2015,30
ae,American Entomologist,1046-2821,2155-9902,Oxford University Press,http://ae.oxfordjournals.org,237,2001,47,2015,61
aepp,Review of Agricultural Economics,1058-7195,1467-9353,Oxford University Press,http://aepp.oxfordjournals.org,952,1996,18,2015,37
aesa,Annals of the Entomological Society of America,0013-8746,1938-2901,Oxford University Press,http://aesa.oxfordjournals.org,2277,1996,89,2015,108
aesthj,The British Journal of Aesthetics,0007-0904,1468-2842,Oxford University Press,http://aesthj.oxfordjournals.org,1327,1996,36,2015,55
afrafj,African Affairs,0001-9909,1468-2621,Oxford University Press,http://afrafj.oxfordjournals.org,1667,1996,95,2015,114
ageing,Age and Ageing,0002-0729,1468-2834,Oxford University Press,http://ageing.oxfordjournals.org,4846,1996,25,2015,44
ahr,The American Historical Review,0002-8762,1937-5239,Oxford University Press,http://ahr.oxfordjournals.org,20823,1996,101,2015,120
aje,American Journal of Epidemiology,0002-9262,1476-6256,Oxford University Press,http://aje.oxfordjournals.org,8910,1996,143,2015,182
ajh,American Journal of Hypertension,0895-7061,1941-7225,Oxford University Press,http://ajh.oxfordjournals.org,12119,1996,9,2015,28
ajj,The American Journal of Jurisprudence,0065-8995,2049-6494,Oxford University Press,http://ajj.oxfordjournals.org,216,1997,42,2015,60
alcalc,Alcohol and Alcoholism,0735-0414,1464-3502,Oxford University Press,http://alcalc.oxfordjournals.org,3003,1996,31,2015,50
alhist,American Literary History,0896-7148,1468-4365,Oxford University Press,http://alhist.oxfordjournals.org,1009,1997,9,2015,27
analys,Analysis,0003-2638,1467-8284,Oxford University Press,http://analys.oxfordjournals.org,1584,1996,56,2015,75
annbot,Annals of Botany,0305-7364,1095-8290,Oxford University Press,http://annbot.oxfordjournals.org,4912,1996,77,2015,116
annhyg,Annals of Occupational Hygiene,0003-4878,1475-3162,Oxford University Press,http://annhyg.oxfordjournals.org,2029,1972,15,2015,59
annonc,Annals of Oncology,0923-7534,1569-8041,Oxford University Press,http://annonc.oxfordjournals.org,14506,1996,7,2015,26
applij,Applied Linguistics,0142-6001,1477-450X,Oxford University Press,http://applij.oxfordjournals.org,942,1996,17,2015,36
arbitration,Arbitration International,0957-0411,1875-8398,Oxford University Press,http://arbitration.oxfordjournals.org,783,1996,12,2015,31
asj,Aesthetic Surgery Journal,1090-820X,1527-330X,Blackwell Publishing Ltd,http://asj.oxfordjournals.org,2458,1996,16,2015,35
beheco,Behavioral Ecology,1045-2249,1465-7279,Oxford University Press,http://beheco.oxfordjournals.org,2756,1997,8,2015,26
bioinformatics,Bioinformatics,1367-4803,1460-2059,Oxford University Press,http://bioinformatics.oxfordjournals.org,9921,1996,12,2015,31
biomet,Biometrika,0006-3444,1464-3510,Oxford University Press,http://biomet.oxfordjournals.org,1627,1996,83,2015,102
bioscience,BioScience,0006-3568,1525-3244,American Institute of Biological Sciences,http://bioscience.oxfordjournals.org,4424,1964,14,2015,65
bjaint,British Journal of Anaesthesia,0007-0912,1471-6771,Oxford University Press,http://bjaint.oxfordjournals.org,8583,1996,76,2015,115
blms,Bulletin of the London Mathematical Society,0024-6093,1469-2120,Oxford University Press,http://blms.oxfordjournals.org,2446,1996,28,2015,47
brainj,Brain,0006-8950,1460-2156,Oxford University Press,http://brainj.oxfordjournals.org,6076,1996,119,2015,138
brheum,Rheumatology,1462-0324,1462-0332,Oxford University Press,http://brheum.oxfordjournals.org,7893,1996,35,2015,54
